,Additional Paid in Capital,Book Value Per Share,Book to Market Value,Cash & Cash Equivalents,"Cash From (Repayment of) Short Term Debt, net",Cash From Long Term Debt,Cash from Financing Activities,Cash from Investing Activities,Cash from Operating Activities,"Cash, Cash Equivalents & Short Term Investments",Cost of revenue,Decrease in Long Term Investment,EBITDA,EPS,EV,EV/EBITDA,EV/FCF,EV/Sales,Earnings Growth Rate,Equity Before Minority Interest,FCF,FCF Per Share,Gross Profit,Income (Loss) Including Minority Interest,Income (Loss) from Continuing Operations,Increase in Long Term Investment,Long Term Borrowings,Long Term Debt,Market Cap,Net Change in Long Term Investment,Net Income,Net Income Available to Common Shareholders,Net Income/Starting Line,Operating Expenses,Operating Income (Loss),Other Long Term Assets,P/BV Ratio,P/E Ratio,P/FCF Ratio,P/S Ratio,PEG Ratio,Pretax Income (Loss),"Pretax Income (Loss), Adjusted",Research & Development,Retained Earnings,Revenue,RoE,Sales Per Share,Share Capital & Additional Paid-In Capital,Share Price,Short Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Noncurrent Assets,Total Noncurrent Liabilities,Treasury Stock
Cost of revenue,-0.9493108401821992,-0.0005689359728390046,-0.0005706277138397158,-0.821462592731351,-0.5049500531180329,-0.005736173444438266,0.48661491014898445,0.5881859765306153,-0.8788927844558148,-0.9362211060419721,1.0,-0.8818694198589291,-0.8587875378032611,-0.0005129270676169436,-0.717982656222694,0.013750017200329123,0.00971354909481771,0.006630839403291969,-0.00048820351414311143,-0.9538622962030084,-0.8077219497543126,-0.0005615985481049063,-0.9345461753573443,-0.7975281451303614,-0.79665360403108,0.8559725808253225,-0.705082812363447,-0.7297444110209848,-0.6779654909738774,0.40258382608764526,-0.7972530902690903,-0.7977105758440368,-0.7952872728346337,0.9585523687564674,-0.8074681673435745,-0.8714247930446523,-0.0048283126253570825,0.0015266349730893472,0.0067457460877361165,0.005930520827477243,0.0008153552245414879,-0.8079868552923765,-0.8106006909302389,0.9506742395927397,-0.9304146620443193,-0.9805514221226651,-0.0035880471171554655,-0.0006005799433572971,-0.9519094942124714,-0.015429977360026777,-0.9133400502804502,-0.9641654600300621,-0.9477989265984902,-0.8589485516526547,-0.9538044923990603,-0.926744889528874,-0.9641654599269872,-0.9203685141211261,-0.8214741644324938,0.9044177261601946
Decrease in Long Term Investment,0.9639198135599798,0.0028726998160238625,0.00287169676009406,0.7349597246362223,0.5509186579750248,0.14369403315072662,-0.39536707627409073,-0.5503413044647784,0.7873838291641367,0.9527368918249594,-0.8818694198589291,1.0,0.786604773206857,0.002876700208574035,0.6067668125156598,-0.006181532344510956,-0.0006862859565321898,0.00038712999216907894,0.0028895007794857196,0.9422836919251083,0.6990672044808794,0.002871226334619999,0.8980737671644647,0.6976633499627696,0.6975052882241607,-0.9550031201454368,0.727287373135879,0.7181528165436801,0.5554320792216063,-0.40804560270962553,0.697628118045324,0.6975810965217499,0.6977864295271726,-0.9559334005077392,0.7290569962753152,0.8809428311394215,0.005422527917040693,0.0024838441960500163,0.00027172041898024355,0.0007385273228707152,0.0031123832087712336,0.7217457042773536,0.7312389252648887,-0.962591474631748,0.902506970896118,0.9054852197942694,0.0008050218269621401,0.0028856460913443526,0.9628948276595032,0.03192877333864643,0.9644725691409703,0.9449862303347368,0.9457501574114492,0.7976147977193129,0.9421726141562218,0.8956336464055302,0.944986230659233,0.8470193191900101,0.8250363899912765,-0.8998966623778596
EBITDA,0.8867136070134624,0.0018003966240868635,0.001797685084411493,0.8782883964383985,0.5798888872122963,-0.06507738717509455,-0.6905167036249145,-0.4562382706294591,0.9788169150009992,0.9187411970060712,-0.8587875378032611,0.786604773206857,1.0,0.001846913448808793,0.9001542981225557,-0.009387801967038818,-0.0029003214711863894,-0.0019353224713544134,0.0017980600987708107,0.8984024576133885,0.9634047337142904,0.0018041875060510694,0.9700741571759027,0.9873803679736898,0.9877244884951007,-0.7312517414290712,0.8383435690959092,0.825485378328487,0.8748043564130892,-0.2587656431280341,0.9876973141249311,0.9865447647121358,0.9878007723222277,-0.8790822667021179,0.9931823329728598,0.7360063828601159,0.0014464155071837737,0.0019710031591217325,-0.002433414595051154,-0.0016579227681127046,0.00224776500158278,0.992410848366144,0.9936437027462744,-0.8667681400512622,0.9634611975764754,0.9345151993818104,0.0006313088917297548,0.0018080801417907158,0.8881548722261344,0.0037862191093299326,0.871266468942377,0.9034363574458265,0.9246147155093671,0.6734779665607514,0.8984321800291757,0.8602498775821008,0.9034363575087067,0.7428034102785009,0.8811938940785672,-0.9534140202567226
EPS,0.005481962648497672,0.9999989604401344,0.9999988199418567,0.0029047137539698078,0.0015007966786696344,-0.00013432102322355862,-0.001401046405176236,-0.0014917699389115056,0.0025514977844969403,0.0029344070743967127,-0.0005129270676169436,0.002876700208574035,0.001846913448808793,1.0,0.001074109804206696,-0.002098345945652792,-0.0008947772364230586,-0.001135179301157044,0.9996188967624186,0.004364267448342398,0.002505439535580074,0.9999990721693364,0.0029868755188954864,0.0010375802715737808,0.0010830120824352053,-0.002874338980793639,0.0014956611170682086,0.0006891401343546291,0.0008939895100511738,-0.002233327938059948,0.0010240498018483388,0.0010848140747247374,0.0010809892989094702,-0.0042351072008301825,0.000977512916884577,0.008917940870559665,-0.002171942903095,-0.0011280010593256843,-0.0010029927894416519,-0.0011155228395784429,-0.0006011358831052608,0.0008585276281313535,0.0009960737688300646,-0.0049554545915204825,0.0029674770981363793,0.001878785811303841,-0.0003917066303817626,0.9999989712969692,0.004732790552454677,-0.008388343803779641,0.0027474307592817034,0.003308286953469547,0.0028190587584242793,0.00012649749397791277,0.004434013532990909,0.0011746701519770994,0.0033082868542059288,0.004576447706488459,0.001963238631522091,-0.002998344253452011
EV,0.7306477272241416,0.0010666789231251065,0.0010657138892118082,0.8254989184294901,0.5225934410533422,-0.09858628946969741,-0.6910415308235877,-0.2778656110849703,0.8820917031218878,0.7695179601313129,-0.717982656222694,0.6067668125156598,0.9001542981225557,0.001074109804206696,1.0,0.3489868063271584,0.08293822377967996,0.3551939490561578,0.0010526845380046286,0.7375618442989988,0.8838451184797543,0.0010674351239605136,0.8381461902262141,0.9153411792163774,0.9155491844259168,-0.5304853267928157,0.7750065800227154,0.7521595929968737,0.9977357101389908,-0.09644767699945347,0.9155151718403901,0.9150459372022762,0.915827060174397,-0.7188714600636602,0.9125849250096966,0.5428137078060494,0.3075656992157104,0.3548172428948134,0.09210572584645649,0.35541123972086275,0.3579756880486032,0.9117549645883256,0.9117620639398243,-0.7061184254721844,0.8353909673047292,0.7962600188452756,-0.0002085604177443846,0.0010724770383871945,0.7301871589440495,-0.0029047557823752247,0.6985923075971665,0.7463009513793968,0.7778617808960748,0.5270451564560517,0.7374967031971301,0.7186905572451684,0.74630095142947,0.5675364369119067,0.7703070370109909,-0.8386063509030479
EV/EBITDA,-0.005208298386507929,-0.0020838246860556743,-0.0020837467590988667,-0.008530178845092473,-0.005189034462205042,-0.0008399149044899202,0.002737109233329196,0.0034896931155796386,-0.009055647059342465,-0.007812537064714135,0.013750017200329123,-0.006181532344510956,-0.009387801967038818,-0.002098345945652792,0.3489868063271584,1.0,0.24208953760243734,0.9986737742752367,-0.0020901769438601047,-0.0080019155756689,-0.008163510295113072,-0.0020839831598052317,-0.009422609682384304,-0.009378410537994254,-0.009261471608289258,0.005573036678655786,0.009448938340435503,0.0055922154271510205,0.37849940367570634,0.0017039477166653292,-0.009376552439065313,-0.009405529567703295,-0.009273091576753583,0.008838789071016586,-0.009306136819956574,-0.011427560193529,0.8598814241322814,0.9875514794700769,0.2667812089160762,0.9986923086520106,0.9938776600006263,-0.009905395899333796,-0.00979910109238187,0.007354285416448608,-0.010769741250230766,-0.011607690642155225,-0.0008717614711323384,-0.002085913618683545,-0.006245764842589212,0.01735224423103749,-0.007042758279666306,-0.00769923344572892,-0.008473489612793554,-0.011510087903604936,-0.00792253139511224,-0.00687197681203387,-0.007699233760289653,-0.004385512315857688,-0.001165516033911995,0.009153531883513581
EV/FCF,0.0006644979899258418,-0.0008808076811270474,-0.0008802888767291159,-0.0028613160167042734,-0.0010278658726137898,-0.0016354960796711299,-0.0005143095710265758,0.003002485327141836,-0.002790321041430038,-0.0015094716748595609,0.00971354909481771,-0.0006862859565321898,-0.0029003214711863894,-0.0008947772364230586,0.08293822377967996,0.24208953760243734,1.0,0.23825592792317923,-0.0008565846404921494,-0.0014168296854109536,-0.0013803260057749258,-0.000880980470920941,-0.002795425738651245,-0.001968398260783052,-0.001746459915332799,0.0005721991547536291,0.002751126007389281,-0.009781568067806537,0.09017995610834627,-0.00042558591688017055,-0.0018119455448397368,-0.0017902386385792802,-0.001796441849420806,0.0031918586887820202,-0.0020176235800071383,-0.008272952298248983,0.20204033028914833,0.23512239634295734,0.9953266164171425,0.2382927073013476,0.2356684018552264,-0.0019621752894798906,-0.002011554562212015,4.649319299934593e-05,-0.0023309878393336027,-0.006065853872953356,-0.001496296929774507,-0.000885205866411133,-0.0007068181146397716,-0.020525675428608704,-0.0009407550780926466,-0.0049526950679977914,-0.002336594097639869,-0.011593311270063947,-0.0015151164317440847,-0.01060435841062861,-0.0049526952540233735,-0.013020892582694078,-0.007708865589414759,0.0013420003705593938
EV/Sales,0.0022398799334010706,-0.0011235481964407736,-0.0011232122472860414,-0.0019681049880168043,-0.001384249127048054,-5.461480500529015e-05,-0.0006030779424641351,-0.0010232388580769804,-0.002078452692186835,-0.0007126565341649129,0.006630839403291969,0.00038712999216907894,-0.0019353224713544134,-0.001135179301157044,0.3551939490561578,0.9986737742752367,0.23825592792317923,1.0,-0.0010968487895457837,-0.0004850439635516677,-0.0014067430365597331,-0.0011236213959004455,-0.0018131217955094103,-0.0030423997542157093,-0.00291000883268699,-0.0009436172814597713,0.015666422755210862,0.010589637667803544,0.3844815158395018,-0.0017534749837803969,-0.003055580716544874,-0.0031560579335618193,-0.0028689280485705857,0.001219567387125244,-0.0024860118543173623,-0.004329688969493179,0.8598211314964225,0.9886113025859207,0.26280001437119566,0.9999597893928966,0.9952436449698674,-0.0032328506250481714,-0.003080454537579757,-6.78548462349558e-05,-0.003499237361169223,-0.00409709091193313,-0.0006106868516945963,-0.0011269998856827184,0.0013817925573476868,0.005973864907836217,-0.0002307621183389743,-0.00010526179868314991,-0.0014547519817180218,-0.0049544607459083,-0.00035126164125228886,0.0003255526157853645,-0.00010526195205258866,0.004325365122432474,0.005324972635248331,0.0018747032047706045
Earnings Growth Rate,0.005578615119435572,0.9996174987879616,0.9996173193767219,0.002903393232287632,0.0014663378989811,-0.0001717905600749411,-0.0013974091612009084,-0.0015121746755372156,0.0025424864953513637,0.0029313424982237283,-0.00048820351414311143,0.0028895007794857196,0.0017980600987708107,0.9996188967624186,0.0010526845380046286,-0.0020901769438601047,-0.0008565846404921494,-0.0010968487895457837,1.0,0.004379614525146269,0.002482024328471404,0.9996176358567332,0.0029618540351167635,0.0009601194350493926,0.0010037449494529613,-0.0028869888963825633,0.0019278963923046824,0.0010199435962354798,0.0008640290016353824,-0.0022254906304399816,0.0009384355336066939,0.0010001802601302078,0.0010011806638871587,-0.004254758271909485,0.0008942660130358484,0.008892121995635752,-0.0021905691399368103,-0.0011242466474775824,-0.0009704276362934031,-0.0010982510112554633,-0.0006197711150732672,0.0007626835591844822,0.0008971072782217519,-0.005010455233970776,0.0028965587645161934,0.0018532801788176043,-0.00041011112638776647,0.9996174344574107,0.004808148932485633,-0.008892347549332864,0.0027439439208629636,0.0033637456526042814,0.0028099685209620247,0.00011377282963819764,0.004455723067870757,0.0012852231705826275,0.0033637455484049057,0.004837721343326409,0.0021716069790309795,-0.0029781727894707243
Equity Before Minority Interest,0.9918902116684264,0.004382716221173081,0.004382226865152342,0.8380984715673431,0.5363222137852298,0.024031768719842514,-0.4936586155087021,-0.613996444005761,0.9103469362778751,0.9825668846034475,-0.9538622962030084,0.9422836919251083,0.8984024576133885,0.004364267448342398,0.7375618442989988,-0.0080019155756689,-0.0014168296854109536,-0.0004850439635516677,0.004379614525146269,1.0,0.8419016256430103,0.004378262725967511,0.973249099600424,0.8352772834592386,0.8352988558885366,-0.9146747074521336,0.7525990787510546,0.7493864186712131,0.6948160561714994,-0.4300708846897044,0.8354736873784292,0.8349502798971056,0.8355887917056009,-0.9916148335244394,0.849486867782311,0.9121412279105093,0.002054292102766626,0.002128992054986518,-0.0005168075520344895,-0.0001942048229468942,0.0029985184624695673,0.8500042410358347,0.853045165102999,-0.9913390051839592,0.9722842104801039,0.9804250337863564,0.0005159760334011164,0.004395359268164638,0.9926401402847502,0.026278602672786453,0.9668859769573696,0.9877010308011979,0.9847749843117293,0.7922797336040234,0.9999316237998971,0.9099206831482184,0.9877010309589608,0.8975047582983738,0.8555006352969583,-0.9427262270190079
