,Additional Paid in Capital,Book Value Per Share,Book to Market Value,Cash & Cash Equivalents,"Cash From (Repayment of) Short Term Debt, net",Cash From Long Term Debt,Cash from Financing Activities,Cash from Investing Activities,Cash from Operating Activities,"Cash, Cash Equivalents & Short Term Investments",Cost of revenue,Decrease in Long Term Investment,EBITDA,EPS,EV,EV/EBITDA,EV/FCF,EV/Sales,Earnings Growth Rate,Equity Before Minority Interest,FCF,FCF Per Share,Gross Profit,Income (Loss) Including Minority Interest,Income (Loss) from Continuing Operations,Increase in Long Term Investment,Long Term Borrowings,Long Term Debt,Market Cap,Net Change in Long Term Investment,Net Income,Net Income Available to Common Shareholders,Net Income/Starting Line,Operating Expenses,Operating Income (Loss),Other Long Term Assets,P/BV Ratio,P/E Ratio,P/FCF Ratio,P/S Ratio,PEG Ratio,Pretax Income (Loss),"Pretax Income (Loss), Adjusted",Research & Development,Retained Earnings,Revenue,RoE,Sales Per Share,Share Capital & Additional Paid-In Capital,Share Price,Short Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Noncurrent Assets,Total Noncurrent Liabilities,Treasury Stock
FCF,0.8229117449833228,0.002482882553162177,0.002481397378264461,0.8141756937064295,0.4236124605082963,-0.2614185467084447,-0.7689390867012442,-0.4652591181796487,0.9830431885100781,0.8534898245193681,-0.8077219497543126,0.6990672044808794,0.9634047337142904,0.002505439535580074,0.8838451184797543,-0.008163510295113072,-0.0013803260057749258,-0.0014067430365597331,0.002482024328471404,0.8419016256430103,1.0,0.002486658732544689,0.9203493691945123,0.9668284021233691,0.967369319043409,-0.6614191795368954,0.7588203218909519,0.7447844287886224,0.8650108338038003,-0.2659431127425628,0.9673990962658704,0.96659544686669,0.9670838095335073,-0.8197622986048251,0.9614123100077508,0.6833374613577815,0.00217039809791165,0.002993690211606731,-0.0012871451278051625,-0.001224204553786395,0.002441569995880238,0.9627972527711647,0.9633970394666971,-0.8090742325610272,0.9167895038725278,0.8833530978187679,0.0002918743816873142,0.0024896410228032505,0.8236117410901247,0.003903353727171401,0.8099871462723397,0.839620578847238,0.8583544112932857,0.6160215773261061,0.8418168962221914,0.787661675377959,0.8396205790505188,0.6934410265521316,0.8074402339934436,-0.9018597009611536
FCF Per Share,0.005509126515021626,0.9999999940423944,0.9999999804404158,0.002936438891350154,0.0014855206159392754,-0.0001411279305959147,-0.0014182827944026993,-0.0014690952256838307,0.0025484519460232625,0.002934702862800518,-0.0005615985481049063,0.002871226334619999,0.0018041875060510694,0.9999990721693364,0.0010674351239605136,-0.0020839831598052317,-0.000880980470920941,-0.0011236213959004455,0.9996176358567332,0.004378262725967511,0.002486658732544689,1.0,0.0029802760834673533,0.000975300681125537,0.0010193086804832152,-0.0028641966924753373,0.001479265527917385,0.0006845619044306544,0.0008868421055764871,-0.0022019419468275367,0.0009595515443932901,0.0010182655187510898,0.001017451286188182,-0.004271653482737683,0.0009137421310509995,0.008972332110199214,-0.0021755749444276494,-0.0011135829379108615,-0.0009886595108186277,-0.0011043743977121692,-0.0005867910966806311,0.0007900696667183539,0.0009320012615198576,-0.00499634450674665,0.00296922207368706,0.001897804027914859,-0.00040293885127903466,0.9999999857529144,0.004757799450761002,-0.008949567422655376,0.002736805560943136,0.003328508760734037,0.0028270790982740652,0.00018041323077935432,0.00444895255714677,0.001202853856167393,0.0033285086610400617,0.004634590195247434,0.001961589322021291,-0.0030090601689967238
Gross Profit,0.9691343021916333,0.0029814029036334595,0.0029802924018480907,0.8783523561340523,0.5791958431243632,-0.016774609974966388,-0.6163119385073523,-0.5426443006174719,0.9679695501550408,0.980021570460875,-0.9345461753573443,0.8980737671644647,0.9700741571759027,0.0029868755188954864,0.8381461902262141,-0.009422609682384304,-0.002795425738651245,-0.0018131217955094103,0.0029618540351167635,0.973249099600424,0.9203493691945123,0.0029802760834673533,1.0,0.9283302747078753,0.9285938236297692,-0.8527663866867462,0.8231324547606529,0.8141023545433707,0.8023185610678168,-0.350885148125949,0.9285945089678471,0.9275666007154754,0.9287199819955763,-0.9676930118697038,0.9412783039229367,0.8449542138452056,0.0019125348583103358,0.001142451910181192,-0.002137625696746623,-0.0014832332156002935,0.002098542580468667,0.9395834975629135,0.9430542848368263,-0.9589457835160068,0.9964354735041862,0.986182117564571,0.0004631592722582838,0.002994301702296898,0.9705648452489475,0.024248556457088316,0.9496705776841342,0.9736096393533747,0.9837343272838954,0.7652413776921946,0.9733258284087156,0.918246717584171,0.9736096395288463,0.8420917665748796,0.8961828412119541,-0.9835380760110807
Income (Loss) Including Minority Interest,0.8184931393019177,0.0009704053194908311,0.0009670113687404238,0.8569692640989578,0.5579100840064096,-0.11833008886937126,-0.7236316946053859,-0.40430099480237225,0.9672150623681196,0.8588152026314126,-0.7975281451303614,0.6976633499627696,0.9873803679736898,0.0010375802715737808,0.9153411792163774,-0.009378410537994254,-0.001968398260783052,-0.0030423997542157093,0.0009601194350493926,0.8352772834592386,0.9668284021233691,0.000975300681125537,0.9283302747078753,1.0,0.9995468304833638,-0.6414445387368117,0.8218377433863898,0.8000404672545194,0.8973883979428906,-0.2074652009419867,0.999655796767323,0.9987304001193531,0.9992271963366162,-0.8070553970586727,0.996266521502822,0.6490662131895879,-0.0003915965681878483,-0.00023261080780829282,-0.0016915319108197129,-0.0027992220641998825,0.0014675079146990488,0.9980581016654347,0.9966586771951703,-0.7955078777094596,0.9219058086222522,0.8830010719343027,0.0005597753846434122,0.0009759009736795248,0.8190803295716689,-0.007261442476262568,0.8019636807868438,0.8378779450178898,0.8653341136918371,0.5957116767902282,0.8351904217531941,0.7944521041293929,0.8378779450827283,0.6633061188049235,0.8389504221788547,-0.9114777343558076
Income (Loss) from Continuing Operations,0.8183177294833514,0.001014241639496658,0.0010106933072236534,0.8571907078135099,0.5578441577524003,-0.11840155764450651,-0.7234546314336727,-0.40471902815799793,0.9673818912102914,0.8588141315772648,-0.79665360403108,0.6975052882241607,0.9877244884951007,0.0010830120824352053,0.9155491844259168,-0.009261471608289258,-0.001746459915332799,-0.00291000883268699,0.0010037449494529613,0.8352988558885366,0.967369319043409,0.0010193086804832152,0.9285938236297692,0.9995468304833638,1.0,-0.6412805506042976,0.8217057621870953,0.7998151380381194,0.8976198866079185,-0.20792721118409138,0.9998126524785269,0.9988813018535415,0.9995057740526047,-0.8072128233096775,0.9966482961839248,0.6483025427063607,-0.00028842720637757693,-0.00015814862095197806,-0.0015018417599329229,-0.002666982559443173,0.001516242015964843,0.9984062175605913,0.9971097133910507,-0.7953437392126168,0.9220424403621582,0.8827416604798795,0.00042046419440644424,0.001019761759892429,0.8189323192799232,-0.004377023508261482,0.8018855715113706,0.8375276488476557,0.8653381546791288,0.5942787576145657,0.8352145136305718,0.7934754347401012,0.8375276488817954,0.6618306478373075,0.8385903262522603,-0.9115598619629659
Increase in Long Term Investment,-0.9301886700038432,-0.002865246966728491,-0.0028638490772203316,-0.6001352707748763,-0.5079834211948897,-0.15317700077216476,0.26321089261336056,0.7639101617855095,-0.7474197636987264,-0.9161435653543701,0.8559725808253225,-0.9550031201454368,-0.7312517414290712,-0.002874338980793639,-0.5304853267928157,0.005573036678655786,0.0005721991547536291,-0.0009436172814597713,-0.0028869888963825633,-0.9146747074521336,-0.6614191795368954,-0.0028641966924753373,-0.8527663866867462,-0.6414445387368117,-0.6412805506042976,1.0,-0.6786646250254741,-0.6728662376673055,-0.4773881129219018,0.6600198914690214,-0.6414078385868759,-0.6413401612299852,-0.6415543616937984,0.9257766670376744,-0.6680644562059918,-0.8769704968123574,-0.00617003273583638,-0.0027495419128107383,-0.0004475775812170289,-0.0012843161396239979,-0.0030992045733762453,-0.6646969009486696,-0.6720541452776286,0.9344599832132505,-0.8557480315534767,-0.868441139185032,-0.000892010660749286,-0.0028780090656883237,-0.9293371253725355,-0.03685525326649675,-0.9643904741766194,-0.9132971628287679,-0.906720150937864,-0.7741867425979688,-0.9145746926882062,-0.8586981624273858,-0.913297163153033,-0.8425753791444532,-0.7819429244943883,0.8431240614753843
Long Term Borrowings,0.7716628884010132,0.0014781146575414733,0.0014767445295762144,0.7848733610138972,0.7286298456079959,0.11400071570238533,-0.4710644648977416,-0.37478923761046573,0.7959635595755787,0.824889111006613,-0.705082812363447,0.727287373135879,0.8383435690959092,0.0014956611170682086,0.7750065800227154,0.009448938340435503,0.002751126007389281,0.015666422755210862,0.0019278963923046824,0.7525990787510546,0.7588203218909519,0.001479265527917385,0.8231324547606529,0.8218377433863898,0.8217057621870953,-0.6786646250254741,1.0,0.9576641869973057,0.745575021707515,-0.24775100655556295,0.8216845591582569,0.8218312709554145,0.8221123516635247,-0.7509790085510504,0.8359464933981712,0.5824857886337115,0.014642005157006614,0.01728499227902964,0.0035175437852513476,0.015424604319153084,0.018459435682472873,0.8314348089160042,0.8331037031557836,-0.7521547570139475,0.8266269612236602,0.7819798835994165,0.00026714876195454946,0.0014833010980046203,0.7694770462313195,-0.004121258448364854,0.7835432034931783,0.7857777241760348,0.8204886255553346,0.5046244129448929,0.7525885087739222,0.7980090198066971,0.7857777242558601,0.5927077208717758,0.9325404387543852,-0.8492870333940559
Long Term Debt,0.7611488388172165,0.0006829461107498141,0.0006829986596961847,0.7775983675628285,0.7012433707938917,0.11048728057174148,-0.451530508023714,-0.3942992968959609,0.7870838374653332,0.8158843718957529,-0.7297444110209848,0.7181528165436801,0.825485378328487,0.0006891401343546291,0.7521595929968737,0.0055922154271510205,-0.009781568067806537,0.010589637667803544,0.0010199435962354798,0.7493864186712131,0.7447844287886224,0.0006845619044306544,0.8141023545433707,0.8000404672545194,0.7998151380381194,-0.6728662376673055,0.9576641869973057,1.0,0.7201992543779672,-0.2519160474067846,0.7994606272294161,0.7996214855463887,0.8003651279387053,-0.751695585612316,0.8148312649158048,0.6330498188812054,0.009111708366664677,0.012599143036455549,-0.004002887961402208,0.009999914372492714,0.013409894666385131,0.8107034154581654,0.812558787733533,-0.7433607719198304,0.814564732883822,0.7884549003024355,0.0005285991592671839,0.0006887294149675395,0.7648529733711724,-0.0008026604028487182,0.774543604914394,0.801993233774914,0.819263353380667,0.5593053888423006,0.7498421603400127,0.84603637832762,0.8019932334361604,0.6644089950084506,0.9653703570020152,-0.8322341692834883
Market Cap,0.6860946737371505,0.0008859477338833863,0.0008849491235304328,0.8009332409568295,0.498805334126973,-0.11782531010561766,-0.6933947262459524,-0.24136355208585206,0.8562514304013255,0.7256758561475559,-0.6779654909738774,0.5554320792216063,0.8748043564130892,0.0008939895100511738,0.9977357101389908,0.37849940367570634,0.09017995610834627,0.3844815158395018,0.0008640290016353824,0.6948160561714994,0.8650108338038003,0.0008868421055764871,0.8023185610678168,0.8973883979428906,0.8976198866079185,-0.4773881129219018,0.745575021707515,0.7201992543779672,1.0,-0.06296115662197088,0.897572401688603,0.8971053946468478,0.897907152085277,-0.6743747475248321,0.8920220996370248,0.496574258709267,0.33258801641201285,0.3837952900762449,0.09988916894394544,0.38470809278755463,0.38711090839137363,0.8917085560348322,0.8910326079227711,-0.6610315519159861,0.7990880859374235,0.7578898787231994,-0.0002914826123656192,0.0008910306552683577,0.685451708127101,-0.004915912983804901,0.6510009962288398,0.7019615432116457,0.734853753552897,0.4837131426016563,0.6947458191895811,0.6741518058396676,0.7019615432548532,0.523315624589093,0.7327932500073376,-0.8024856435487777
Net Change in Long Term Investment,-0.42300206158557446,-0.00220044772408998,-0.0021977788635867334,0.013915602490620977,-0.16901906311318043,-0.10749661795077915,-0.19151427561886067,0.958313777334744,-0.30685642088195064,-0.4080093741885564,0.40258382608764526,-0.40804560270962553,-0.2587656431280341,-0.002233327938059948,-0.09644767699945347,0.0017039477166653292,-0.00042558591688017055,-0.0017534749837803969,-0.0022254906304399816,-0.4300708846897044,-0.2659431127425628,-0.0022019419468275367,-0.350885148125949,-0.2074652009419867,-0.20792721118409138,0.6600198914690214,-0.24775100655556295,-0.2519160474067846,-0.06296115662197088,1.0,-0.2078506459143868,-0.20784446874769333,-0.2078141136976491,0.42934499040721613,-0.21000095143029507,-0.468635160481002,-0.004583173824347616,-0.0019385710672967403,-0.0009265087506074804,-0.0018895982715201333,-0.001485110343710371,-0.21808331235535686,-0.21677639262668424,0.43958502054347,-0.34810868414277085,-0.3807356927473239,-0.000556868822831208,-0.002207005368058281,-0.422983566991646,-0.05033863267550618,-0.5269983700893484,-0.41878443676768706,-0.3964986103253892,-0.36335348815919666,-0.43003919408745533,-0.37532609177042076,-0.41878443699887985,-0.44947070859474725,-0.31785509072363743,0.31560040859786276
Net Income,0.8184448766634124,0.0009545460781002894,0.0009509834989393308,0.8574269759189458,0.5578988097059006,-0.11833956945808262,-0.7237245883635376,-0.40455365852005326,0.9673923276500417,0.859020346421017,-0.7972530902690903,0.697628118045324,0.9876973141249311,0.0010240498018483388,0.9155151718403901,-0.009376552439065313,-0.0018119455448397368,-0.003055580716544874,0.0009384355336066939,0.8354736873784292,0.9673990962658704,0.0009595515443932901,0.9285945089678471,0.999655796767323,0.9998126524785269,-0.6414078385868759,0.8216845591582569,0.7994606272294161,0.897572401688603,-0.2078506459143868,1.0,0.9990589983159311,0.999502425410646,-0.8071658883395425,0.9967103621208943,0.6484208002838192,-0.0004059314504708418,-0.00031793308325075303,-0.0015534618112273567,-0.0028097006792554675,0.0013816852761590077,0.9984198280158827,0.9971287824514361,-0.7954733878000174,0.922173966158555,0.8830193675523303,0.0005266774907070992,0.0009599480010191128,0.8191498205597744,-0.004715835238291411,0.8020674741415353,0.8378707207831982,0.8655698784619075,0.5961312041334244,0.8352991708252351,0.7942450392909658,0.8378707208516085,0.6625037610665754,0.8381810025836008,-0.9116331729306044
Net Income Available to Common Shareholders,0.818435778937291,0.0010132796494671274,0.001009706465861511,0.8563193801937874,0.5579488743883024,-0.11836867121907997,-0.7228076411126941,-0.40445306020109734,0.9665597098026995,0.8584729288137237,-0.7977105758440368,0.6975810965217499,0.9865447647121358,0.0010848140747247374,0.9150459372022762,-0.009405529567703295,-0.0017902386385792802,-0.0031560579335618193,0.0010001802601302078,0.8349502798971056,0.96659544686669,0.0010182655187510898,0.9275666007154754,0.9987304001193531,0.9988813018535415,-0.6413401612299852,0.8218312709554145,0.7996214855463887,0.8971053946468478,-0.20784446874769333,0.9990589983159311,1.0,0.9985658478743907,-0.8063881690698578,0.995453856234321,0.6478128801990836,-0.00045721754188200785,-5.7411005006323796e-05,-0.0015288680988763197,-0.0029068304729536216,0.00143123451163281,0.9971424645413703,0.9958477820816395,-0.7954510670924237,0.9213324319426451,0.8826648137498471,0.0004787898135764232,0.0010189035773211976,0.8187750891865371,-0.00499784380053379,0.8017510348362319,0.8373124373984479,0.8648722040374173,0.5949033113036042,0.8347788819570306,0.7936531765071926,0.8373124374754807,0.6624584251230747,0.8383072912827926,-0.9108375721293134
Net Income/Starting Line,0.818652677822355,0.0010124260892541103,0.001008857966350252,0.8570020033803047,0.5579920735583684,-0.11836395689064691,-0.7236003642650061,-0.40452788629107794,0.9674909891256834,0.8588019226103257,-0.7952872728346337,0.6977864295271726,0.9878007723222277,0.0010809892989094702,0.915827060174397,-0.009273091576753583,-0.001796441849420806,-0.0028689280485705857,0.0010011806638871587,0.8355887917056009,0.9670838095335073,0.001017451286188182,0.9287199819955763,0.9992271963366162,0.9995057740526047,-0.6415543616937984,0.8221123516635247,0.8003651279387053,0.897907152085277,-0.2078141136976491,0.999502425410646,0.9985658478743907,1.0,-0.8074206324576872,0.9966437291554355,0.6486528900168025,-0.0001010247283378174,-0.00015043066860280575,-0.0015209293516746842,-0.0026393589735235886,0.001514395819126354,0.9983928874888248,0.9971060498114771,-0.7956528008709834,0.9223417545867223,0.882174306389396,0.0005612086500953377,0.0010177561794912653,0.819106237518412,-0.004003709717795223,0.8019354134222629,0.8370244377178401,0.8653132449715476,0.5898666005889308,0.8355054902850308,0.791629740304031,0.8370244377615083,0.6598116888689068,0.8395428053522007,-0.9119070435200883
Operating Expenses,-0.9939871746518699,-0.004277538016090474,-0.0042783864143232766,-0.8225855127737127,-0.5394377487603362,-0.03267813628665345,0.4946289296818986,0.6052454138571058,-0.8946828500900496,-0.9810599175830016,0.9585523687564674,-0.9559334005077392,-0.8790822667021179,-0.0042351072008301825,-0.7188714600636602,0.008838789071016586,0.0031918586887820202,0.001219567387125244,-0.004254758271909485,-0.9916148335244394,-0.8197622986048251,-0.004271653482737683,-0.9676930118697038,-0.8070553970586727,-0.8072128233096775,0.9257766670376744,-0.7509790085510504,-0.751695585612316,-0.6743747475248321,0.42934499040721613,-0.8071658883395425,-0.8063881690698578,-0.8074206324576872,1.0,-0.82589464399146,-0.9137206184223586,-0.0031268736926028224,-0.0017877947631429918,0.0022018669055087767,0.0008631526187800654,-0.0020837909454687904,-0.8238506703854466,-0.8290538786428825,0.9953890701509296,-0.9665680162981477,-0.9795513880410142,-0.00038737488144206296,-0.004294750539033918,-0.9954540672756483,-0.042181998325964205,-0.9703362329129561,-0.9875538914381213,-0.9832043367733132,-0.8150427959965466,-0.9918000862471328,-0.9235689163489454,-0.9875538916902602,-0.9020349079948478,-0.857908173702363,0.949220041669606
Operating Income (Loss),0.8371065295789105,0.0009083209480799896,0.0009046892718368357,0.8636340139136274,0.5734776537364974,-0.0813534533527748,-0.716527744379608,-0.40345619779774505,0.9675738515207016,0.878801205295805,-0.8074681673435745,0.7290569962753152,0.9931823329728598,0.000977512916884577,0.9125849250096966,-0.009306136819956574,-0.0020176235800071383,-0.0024860118543173623,0.0008942660130358484,0.849486867782311,0.9614123100077508,0.0009137421310509995,0.9412783039229367,0.996266521502822,0.9966482961839248,-0.6680644562059918,0.8359464933981712,0.8148312649158048,0.8920220996370248,-0.21000095143029507,0.9967103621208943,0.995453856234321,0.9966437291554355,-0.82589464399146,1.0,0.6665581269396602,3.784313260587684e-05,0.00012945112335544534,-0.0018790241998427948,-0.002219491717593417,0.001869674790062722,0.9989464491644422,0.9997387829368459,-0.8124265240272769,0.9349131923531022,0.8947668302328399,0.0005344569580559728,0.0009144076482401537,0.8383359424603232,-0.002446491885541232,0.8252320183132453,0.8557238495156879,0.88424230606267,0.6205049849346684,0.849406966843626,0.8175411820585401,0.8557238495646033,0.6758698687515005,0.8561653457189051,-0.9292947309767166
Other Long Term Assets,0.8958409377069073,0.008976744262057093,0.008980479742844587,0.6880219051911246,0.42397705115441003,0.03264579396231791,-0.33558751789511676,-0.6372240925802897,0.7562877820028144,0.8702131098629255,-0.8714247930446523,0.8809428311394215,0.7360063828601159,0.008917940870559665,0.5428137078060494,-0.011427560193529,-0.008272952298248983,-0.004329688969493179,0.008892121995635752,0.9121412279105093,0.6833374613577815,0.008972332110199214,0.8449542138452056,0.6490662131895879,0.6483025427063607,-0.8769704968123574,0.5824857886337115,0.6330498188812054,0.496574258709267,-0.468635160481002,0.6484208002838192,0.6478128801990836,0.6486528900168025,-0.9137206184223586,0.6665581269396602,1.0,-0.0008593871628941061,-0.0008936513937376533,-0.007514958315209923,-0.004318592110564371,-0.0013942611513852634,0.66729545208776,0.6698817707683618,-0.9054418123183525,0.836517036910081,0.8712495615391835,0.0033750937482467875,0.008987662159703253,0.9043246632634434,0.01016548378520188,0.8751326504840959,0.9103465624837496,0.8740969036324362,0.7779977269043679,0.9133574255478654,0.8529238254396606,0.9103465634744288,0.9371098504008621,0.7680447707217122,-0.7953870354987914
P/BV Ratio,0.006529447286306575,-0.002178473004536012,-0.002177626933025981,0.0014000431864968558,0.00039894855438014367,0.002027735916020833,-0.001440547598348209,-0.004210527361401076,0.0011166232816483654,0.00342618609584919,-0.0048283126253570825,0.005422527917040693,0.0014464155071837737,-0.002171942903095,0.3075656992157104,0.8598814241322814,0.20204033028914833,0.8598211314964225,-0.0021905691399368103,0.002054292102766626,0.00217039809791165,-0.0021755749444276494,0.0019125348583103358,-0.0003915965681878483,-0.00028842720637757693,-0.00617003273583638,0.014642005157006614,0.009111708366664677,0.33258801641201285,-0.004583173824347616,-0.0004059314504708418,-0.00045721754188200785,-0.0001010247283378174,-0.0031268736926028224,3.784313260587684e-05,-0.0008593871628941061,1.0,0.8515571182859766,0.22320670365305353,0.8600663342173606,0.8563225054212588,-0.0002799384580944543,-0.00026991132575772425,-0.005296165137531221,0.001423837463326054,0.0032795747362138494,0.06297989916072118,-0.0021731342020769747,0.004727571818854821,0.021588001158875995,0.0038963281336013476,0.003916904617103413,0.004303773568615715,0.002063740442065502,0.002094347317683581,0.0068392747222159635,0.0039169043594593994,0.002254095201424948,0.010158817905128018,-0.003368105889330369
P/E Ratio,0.005037457621375636,-0.001113622843879262,-0.0011131840797220865,0.0009497324691732935,0.000773711244430973,0.0001091582777869863,-0.002277829312894173,-0.0018850388722703442,0.0005494632305471353,0.001953065143226321,0.0015266349730893472,0.0024838441960500163,0.0019710031591217325,-0.0011280010593256843,0.3548172428948134,0.9875514794700769,0.23512239634295734,0.9886113025859207,-0.0011242466474775824,0.002128992054986518,0.002993690211606731,-0.0011135829379108615,0.001142451910181192,-0.00023261080780829282,-0.00015814862095197806,-0.0027495419128107383,0.01728499227902964,0.012599143036455549,0.3837952900762449,-0.0019385710672967403,-0.00031793308325075303,-5.7411005006323796e-05,-0.00015043066860280575,-0.0017877947631429918,0.00012945112335544534,-0.0008936513937376533,0.8515571182859766,1.0,0.25938593164639673,0.9887369630951485,0.9843191845365293,-0.0006678812939641872,-0.0004943433149010721,-0.0029367612261429928,-0.0009376075064351232,-7.974505228663814e-05,-0.00046669131551796737,-0.0011158420768747758,0.0038824821297833907,0.007937813649739613,0.002169095917237941,0.0027579375885544394,0.00140081303448608,-0.0024206037897963315,0.0022867174637412465,0.003413394893082127,0.002757937554927607,0.006924322016918364,0.008376434366786343,-0.0005811190776623942
P/FCF Ratio,0.0014723378889586914,-0.000988266528850079,-0.0009876262781568987,-0.002079604716226077,-0.0006246950214649937,-0.0015385588958014287,-0.00013808493319218129,0.0011121952473969617,-0.0018966078565219014,-0.00040009499732910334,0.0067457460877361165,0.00027172041898024355,-0.002433414595051154,-0.0010029927894416519,0.09210572584645649,0.2667812089160762,0.9953266164171425,0.26280001437119566,-0.0009704276362934031,-0.0005168075520344895,-0.0012871451278051625,-0.0009886595108186277,-0.002137625696746623,-0.0016915319108197129,-0.0015018417599329229,-0.0004475775812170289,0.0035175437852513476,-0.004002887961402208,0.09988916894394544,-0.0009265087506074804,-0.0015534618112273567,-0.0015288680988763197,-0.0015209293516746842,0.0022018669055087767,-0.0018790241998427948,-0.007514958315209923,0.22320670365305353,0.25938593164639673,1.0,0.2628237295773132,0.2601225820816915,-0.001769362349157935,-0.0018171625075591546,-0.0008010437243706172,-0.0017697459481973655,-0.0043260594168190196,-0.0014115278270639578,-0.0009929040715379257,0.0003067870841319047,-0.022104857378233034,0.00020787523710611913,-0.003004391007174678,-0.0013206977900818637,-0.007707229215610119,-0.0005836476641768745,-0.00701201849462176,-0.003004391176134932,-0.008215490368206872,-0.005057854669880154,0.0008767812086882134
P/S Ratio,0.002473296716283958,-0.0011042593701869705,-0.0011039465028695441,-0.0018238585622042706,-0.0011290110856510178,8.447662133624249e-05,-0.0006679557871665841,-0.0012403091847190853,-0.0018393843819456393,-0.000439988714308907,0.005930520827477243,0.0007385273228707152,-0.0016579227681127046,-0.0011155228395784429,0.35541123972086275,0.9986923086520106,0.2382927073013476,0.9999597893928966,-0.0010982510112554633,-0.0001942048229468942,-0.001224204553786395,-0.0011043743977121692,-0.0014832332156002935,-0.0027992220641998825,-0.002666982559443173,-0.0012843161396239979,0.015424604319153084,0.009999914372492714,0.38470809278755463,-0.0018895982715201333,-0.0028097006792554675,-0.0029068304729536216,-0.0026393589735235886,0.0008631526187800654,-0.002219491717593417,-0.004318592110564371,0.8600663342173606,0.9887369630951485,0.2628237295773132,1.0,0.9954033749497305,-0.0029454297543605895,-0.0027928891671521673,-0.000359138087144088,-0.003103029693671708,-0.0035881375535533615,-0.0005766479356568775,-0.0011073821160947593,0.0016044304031738994,0.005834549603104494,6.824482837290641e-05,8.124345491426328e-05,-0.0012128323974726464,-0.004666903344034776,-6.598420686097359e-05,0.0003308053942263913,8.124331447445283e-05,0.0043115302775118694,0.005058760989294923,0.0015434833785697654
PEG Ratio,0.005631311762196646,-0.0005862963173093172,-0.0005856766287063355,0.001919226555652638,0.0016243690134447014,-0.0001534758535158792,-0.00407144882546149,-0.001694486160605685,0.0022300023993938665,0.002771231604198671,0.0008153552245414879,0.0031123832087712336,0.00224776500158278,-0.0006011358831052608,0.3579756880486032,0.9938776600006263,0.2356684018552264,0.9952436449698674,-0.0006197711150732672,0.0029985184624695673,0.002441569995880238,-0.0005867910966806311,0.002098542580468667,0.0014675079146990488,0.001516242015964843,-0.0030992045733762453,0.018459435682472873,0.013409894666385131,0.38711090839137363,-0.001485110343710371,0.0013816852761590077,0.00143123451163281,0.001514395819126354,-0.0020837909454687904,0.001869674790062722,-0.0013942611513852634,0.8563225054212588,0.9843191845365293,0.2601225820816915,0.9954033749497305,1.0,0.0011063482243223335,0.001264011361679363,-0.0032486093638632433,0.0004476081161365237,0.0007707043806917916,-0.00026941010448446143,-0.0005885218196009609,0.004694405305097653,-0.002239087375852323,0.0028802313128446127,0.0037073463030527004,0.002217238330124167,-0.001240107761194778,0.0031529702457414547,0.0044519269204434,0.0037073461934543023,0.008213380517288248,0.00908817286262387,-0.0018165722585700157
Pretax Income (Loss),0.8346668755629294,0.0007848284097151698,0.0007810528193050923,0.8636534233404837,0.5731141599053694,-0.08973538786441096,-0.7107398649837884,-0.4138240055113049,0.9685490775446042,0.8751990752241915,-0.8079868552923765,0.7217457042773536,0.992410848366144,0.0008585276281313535,0.9117549645883256,-0.009905395899333796,-0.0019621752894798906,-0.0032328506250481714,0.0007626835591844822,0.8500042410358347,0.9627972527711647,0.0007900696667183539,0.9395834975629135,0.9980581016654347,0.9984062175605913,-0.6646969009486696,0.8314348089160042,0.8107034154581654,0.8917085560348322,-0.21808331235535686,0.9984198280158827,0.9971424645413703,0.9983928874888248,-0.8238506703854466,0.9989464491644422,0.66729545208776,-0.0002799384580944543,-0.0006678812939641872,-0.001769362349157935,-0.0029454297543605895,0.0011063482243223335,1.0,0.999272815800698,-0.8111186480749337,0.9330287267308485,0.8940723985990099,0.0006637541106788795,0.0007907751610301587,0.8357295873184628,-0.0025857831590114485,0.820614371889085,0.8535976397785555,0.8812061959264907,0.6129098323234212,0.8499010227058642,0.8110124446494293,0.8535976397426553,0.676938656031021,0.8518576810371892,-0.9236698672099499
"Pretax Income (Loss), Adjusted",0.8399222797307733,0.0009269910600209555,0.000923306767970091,0.8629869123553721,0.5701211998205361,-0.0872164831252479,-0.7164374980900365,-0.4114126300761536,0.9699953231967939,0.8806663332179666,-0.8106006909302389,0.7312389252648887,0.9936437027462744,0.0009960737688300646,0.9117620639398243,-0.00979910109238187,-0.002011554562212015,-0.003080454537579757,0.0008971072782217519,0.853045165102999,0.9633970394666971,0.0009320012615198576,0.9430542848368263,0.9966586771951703,0.9971097133910507,-0.6720541452776286,0.8331037031557836,0.812558787733533,0.8910326079227711,-0.21677639262668424,0.9971287824514361,0.9958477820816395,0.9971060498114771,-0.8290538786428825,0.9997387829368459,0.6698817707683618,-0.00026991132575772425,-0.0004943433149010721,-0.0018171625075591546,-0.0027928891671521673,0.001264011361679363,0.999272815800698,1.0,-0.8159891584221753,0.9369849076612834,0.8972020618484234,0.0005863392021637696,0.0009330811963538071,0.8410630891558647,-0.0016948318515769304,0.8278424469957317,0.8580034437688788,0.8861651705231944,0.6215936260263645,0.8529390557092885,0.8175272778821642,0.8580034437573384,0.6790875720109844,0.8550975552064675,-0.9301722656801521
